title,href,info,support
孵小鸡的鸡蛋有性别吗？,http://www.guokr.com/question/23186/,"鸡受精卵内有两条性染色体：含有ZW（一条Z型、一条W型）的受精卵发育成母鸡；含有ZZ（两条Z型）的受精卵发育成公鸡,但极罕见的情况下，未受精的鸡蛋也会由于孤雌生殖而孵出一只小公鸡,路上，如果遇到了公鸡爸爸放在这里的精子，就变成了受精卵；如果一路都没遇到，未受精的卵子也会自己跑到车间里，被组装到一颗鸡蛋中",43人支持
又有“被精神病”的事件了，怎样证明自己不是精神病？,http://www.guokr.com/question/23203/,"作为专业的医务工作者，一个人是否有精神病、病情是否严重到需要强制收治，这些属于医学知识和技术方面的问题，都有章可循，遇到难题也很好进行讨论和解决,入院的时候，医生会先对病人进行初步诊断，但送治的过程往往发生在激烈冲突的基础上，而且常常是通过类似绑架的手段，同时送治者（比如家属）还可能捏造病情，影响医生的判断,现实中的很多这类真实案例，都通过这些方式最终得到了解决",13人支持
洗过头之后，自然风干 or 用电吹风吹干，哪个更伤头发？,http://www.guokr.com/question/21162/,"最好能边吹边整理，也可以分成几份吹干，这样头发不容易打结,选有调温档的吹风机，这样在不需高温的时候还可用低温吹,[3]MM们都不会陌生理发师吹头发的过程",13人支持
为什么人们听到 押韵 的句子或者词汇会有“愉悦感”？,http://www.guokr.com/question/20007/,"比如字符串“C C E E E E G I I I I N N N R S S S T T ”由20个组块组成，难以迅速记忆，但转换成“SCIENCE IS INTERESTING”便成为了3个单词组,反观我们的问题，押韵事实上也是一种高效的组块整合策略，通过前后句的押韵，使内容在声音上产生了关联，使记忆组块脱离文字本身进一步进行了简化，降低了信息的学习难度，人们也就更乐于接受,米勒在上世纪50年代的研究表明，人类的短时记忆基于一种“组块策略”，将独立的项目组合成较大、更有意义的单元进行记忆，这种组块的数量一般在7组上下浮动",18人支持
为什么女人总是在减肥却总是不成功？普通体重怎么变成骨感MM？,http://www.guokr.com/question/19405/,"不过也不能节食过了头，不吃不喝不叫减肥，那就变成禁食了,很多人认为减肥就不能吃肉，肉类破坏了减肥的百年大计吗,只要控制住全天总的热量摄入，就是睡前吃也不会胖",68人支持
为什么泡在水里久了皮肤会发皱啊？,http://www.guokr.com/question/5892/,"简单来说，泡水后手指皮肤会发皱的现象，是由于在手指等部位，皮肤的角质层细胞吸水膨胀导致的,因此，皮肤泡水后发皱的现象可能不仅仅是个物理过程，生物的神经活动也可能在其中起到调节作用,[6]后来进一步发现，当皮肤泡水时，细胞内电解质平衡发生改变，引起这些部位的神经活动开始增强",54人支持
水洗羽绒服会影响羽绒服保暖效果吗？,http://www.guokr.com/question/5837/,"上开门的涡轮洗衣机的涡轮在旋转时可能会扭曲损坏羽绒服里的羽毛,非专用的洗涤剂有时可能会导致羽毛粘连在一起,如果是质量合格的产品，经正确的方式洗涤，是不会影响保暖效果的",7人支持
加油站到底能不能打手机,http://www.guokr.com/question/5813/,"关于这个问题，果壳网谣言粉碎机的文章《在加油站使用手机会引起爆炸和火灾,》已经将这一谣言破解,不过，如果加油站对这一行为作了规定，我们也应该遵守",18人支持
在太空敲响一支音叉，但声音不能在真空中传播，那它的声音去哪了,http://www.guokr.com/question/5260/,"这里提到的“内摩擦”，指的是物质内部的原子或分子相互运动所造成的能量损失,振动的能量会加热音叉（由于内摩擦），而最终被辐射出去,既然声音不能在真空的太空中传播，如果我们在太空中使用某种正常环境下可以发出声音的物体，例如音叉，会发生什么",20人支持
为什么熬夜会有黑眼圈？,http://www.guokr.com/question/4936/,"例如，缺铁导致黑眼圈的机制和缺乏睡眠相似，都是由皮肤变苍白而凸显的；遗传因素或怀孕导致的黑眼圈，往往与黑色素的沉积有关；而随着年龄增加而出现的黑眼圈，则与皮肤变薄变松弛、阴影加深有关,与这些原因引起的黑眼圈相比，睡眠不足引起的黑眼圈很容易消退，对健康影响不大，因而相关的研究文献不多,医学上针对黑眼圈的研究，主要集中在长期的或由某种症状导致的黑眼圈",31人支持
为什么吃了薄荷嘴里会凉呢？这和吃冰块嘴里凉有什么区别吗？,http://www.guokr.com/question/4870/,"薄荷中含有一种叫薄荷醇（menthol）的物质（其化学结构见下图），这种物质可以刺激皮肤和口腔中的寒冷感受器TRPM8受体，让机体产生“冷”的感觉，而实际上并未改变温度,TRPM8受体存在于感觉神经元里，它还有个更直白的名字叫“寒冷与薄荷醇受体1”,除了薄荷醇，还有一种叫做Icilin的化学物质也能让我们产生冷感（这种物质没有中文译名），而且效力比薄荷醇大200倍",55人支持
为什么快要睡着的时候会不自觉的浑身抖一下？,http://www.guokr.com/question/4733/,"[1]有证据表明，压力过大或者睡眠不规律会导致更多入睡抽动的发生，[2]但是作为一种无害的正常生理现象，多抽动几次也问题不大,正常人一天内可能会感觉到一至两次入睡抽动，而更多的不强烈的抽动不会被睡梦中的我们觉察到,但是如果是持续每二十到四十秒抽动一次的话，就不再是入睡抽动，而是一种叫做周期性肢体运动紊乱（Periodic limb movement disorder）的睡眠障碍了",19人支持
月经这东西是不是会传染啊？,http://www.guokr.com/question/4563/,"McClintock在她1971年的研究中发现：同室居住的女性，月经周期平均相差时间从7天下降到了5天，这个改变并不算很多，因此很难说这个同步化是真实存在还是只是统计误差造成的,例如我们来看这样一个实例：假设女性甲的月经周期长度是28天，她在第1天、第29天、第57天来了月经；女性乙的月经周期长度是30天，她在第15天、第45天来了月经,事实上，如果以女性甲的第一次和第二次月经时间来和女性乙比较，会发现：前一次她俩相差14天，后一次相差16天，趋于分离；而如果以女性甲第二次和第三次月经时间来比较，就变成：前一次相差14天，后一次相差1",32人支持
两个血统正常的棕色虹膜亚洲人有可能有蓝色或绿色虹膜的子嗣吗？,http://www.guokr.com/question/4550/,"科学很早就发现：眼睛颜色（虹膜的颜色）是由遗传决定的，棕色（也就是黑色）是显性基因，蓝色是隐性基因,黑色素有两种，一种是颜色较深的“真黑素”（偏黑的棕色），一种是颜色较浅的“褐黑素”（偏红的黄色）,（OCA2还不能100%决定眼睛的颜色，因为还有别的基因在起作用",8人支持
铁做的门把手，被人天天摸，为什么就不生锈？,http://www.guokr.com/question/4508/,"1，人的皮肤会分泌油脂，这层油脂粘在铁表面能够阻挡铁与氧气和水分接触，从而避免氧化反应,而相比把手部位，门的其它部位一旦生锈，很快会锈得越来越严重,这些水分都会加剧里层的铁继续被氧化",13人支持
据说住宅的9-11层是扬灰层，请问确实有扬灰层这个说法吗？,http://www.guokr.com/question/8922/,"大气中的大颗粒物通常越靠近地面浓度越高；只有对于小颗粒物，在外力的作用下，有可能在某一高度存在一个最大浓度区,但是由于影响因素过多，并不一定所有楼房周围都存在这个最大浓度区；即使存在，对于不同建筑物和不同大小的颗粒，最大浓度区的高度也各不相同,经过科研人员理论推算和实际检测，我们认为：说建筑物的9至11楼是扬灰层，这是不科学的",1人支持
为什么我有时候看到一个汉字时间长了会觉得我不认识这个字呢？,http://www.guokr.com/question/8386/,"研究Jamais vu这个现象，不仅对于语言学和神经科学基础研究来说意义重大，而且有学者认为：一些精神疾病中的症状，例如精神分裂症患者会把亲人识别为“冒名顶替”者等现象，很可能和Jamais vu有相,一些研究者认为，字词的辨认涉及三个环节：a，字词产生“字形”的视觉信号（就是我们看到了这个字写在纸上的样子）；b，“字形”的视觉信号寻找并转化为对应的“语义”；c，在“语义”层面上进行思维活动,当我们反复阅读某个汉字时，“辨认”这个字所涉及的神经活动也会暂时被抑制，这时我们就会“认不出”这个字了",75人支持
有没有比较靠谱的蛔虫自测？就是判断自己是不是有蛔虫……,http://www.guokr.com/question/8220/,"近些年来，卫生工作者对此诊断方法的价值作了多次探讨，且大都同时以粪便检查蛔虫卵作为对照， **发现面部白斑、指甲白斑、巩膜蓝斑、下唇颗粒、舌乳头突起等五项体征对蛔虫病没有诊断价值** ，阳性符合率和假,民间流传一些检测蛔虫的偏方，例如说“指甲上有坑就是有蛔虫”，或者把面部、指甲上的白斑称作“蛔虫斑”，作为蛔虫检测的依据,通常使用的蛔虫药具有副作用小、只需服用一次的特点[3]，即使没有蛔虫的人吃了，一般也没什么害处，因此可以用这种“吃一颗看看”的方法",19人支持
天气真能影响人的心情吗？ ,http://www.guokr.com/question/7758/,"格罗赫尔博士还在文中提出，阳光、湿度、温度等很多因素都会对人的情绪与行为产生影响，例如我们都知道，夏天的高温会导致暴力犯罪率上升，尤其是性侵犯的犯罪率,但是在针对大范围正常人群的统计中，这一小群人具有的特点很容易被大多数不具有这种特点的人所淹没，结果是在统计上表现不出任何关联性,当然，也许你就是属于心情特别容易受到天气影响的类型，那你就需要更多参加户外活动、接收更多的阳光，并保持良好的起居习惯，这样才能减少天气对你的负面影响",5人支持
日常塑料用品有哪些种类？,http://www.guokr.com/question/7716/,"由于单一塑料很难满足复杂的使用需求，塑料工业中常把不同塑料混合在一起，制成塑料合金，这样既可以发挥不同材料的优点，又能节约开发新材料的成本,ABS根据三种组分含量和分子链形态分为很多种，广泛用于各种电器外壳、办公用品组件、安全帽和门窗管道等，工业中ABS常用于其他塑料的共混改性,用于合成聚苯乙烯的原料有毒，通过合适的合成工艺，聚苯乙烯的残余单体已经很少，但是现在的水杯等已经很少采用此材料",22人支持
汽车隔热膜的隔热效果是怎么来的？我车上贴的是3M晶锐70,http://www.guokr.com/question/7230/,"正常情况下，太阳光照射在车窗上，光线（包括可见光、红外线和紫外线）中的大部分穿过车窗，进入车厢内；一部分被反射；一部分被车窗吸收,衡量隔热效果的各项参数中，比较重要的一项是总太阳能阻隔率（Total Solar Energy Rejected，TSER）,这里的“阻隔”包含两个方面的意思：一是被反射的那部分阳光，二是先被吸收、进而向车窗外的方向辐射出去的那部分阳光[3]",6人支持
桔+柑+橙+枳+有什么区别？,http://www.guokr.com/question/7111/,"FRPS认为所有的橙子都是甜橙 Citrus sinensis 的栽培变种，而Flora of China认为，甜橙并非物种，而是人们将橘子和柚子杂交，再将杂交品种与亲本杂交，分别得到了酸橙、甜橙和葡,这个科的植物久经栽培驯化，变化极多，所以分类学上争论较多——例如中国科学院植物研究所编写的中国植物志（ Flora Republicae Popularis Sinicae ，FRPS）和哈佛大学编写,“柑”和“橘”这两个名称的使用极为混乱，不仅柑橘属下多个种或栽培变种（包括广柑 Citrus x aurantium / Citrus sinensis 、虎头柑 Citrus aurantium c",66人支持
为什么猫爱啃花花草草的枝叶和茎？,http://www.guokr.com/question/7074/,"与家养动物相比，这些野生动物的饮食卫生状况比较差，食物中也常会包含猎物的毛发，因此它们更有理由通过吃草来帮助排出肠道寄生虫或者吐出胃里的毛球,文中表示，家猫作为典型的食肉动物，无法像草食动物或者杂食动物那样消化吸收植物里的有机营养,正在吃草的狮子（拇姬摄于北京动物园）",45人支持
喝豆浆吃木瓜到底能不能使女性胸部增大？,http://www.guokr.com/question/6770/,"女编辑们认为：虽然木瓜丰胸是一个谣言，但这个谣言撑起了多少女性的梦想,为了这篇稿件能发表，果壳问答编辑对女编辑们开始了漫长而耐心的劝说工作,果壳问答编辑在此代表作者，向因为这篇文章而伤心的女性们道歉",19人支持
1分贝有多大声？生活中常见的声音都是多少分贝呀？,http://www.guokr.com/question/6727/,"比如：1米外步枪射击的声音大约是7000Pa；10米外开过的汽车大约是0,比如上面两个例子：虽然步枪的声音确实比汽车声要大，但要说大出几万倍，这无论如何也与我们的日常感觉有出入,8分贝：250英尺（约75米）外1吨TNT炸药爆炸",95人支持
为什么人无聊的时候就容易犯困？,http://www.guokr.com/question/1864/,"关于睡意的产生，综合目前理论认为：既有大脑活动减少的影响，更有大脑特定区域的主动控制，例如前脑区和脑干就分别对慢波睡眠和快波睡眠进行控制,当我们无事可做或者正在从事不感兴趣的活动时，一方面外部来的刺激减少了，另一方面主动参与的欲望也会下降，共同的结果就是脑部活动的减少,同时，主动控制睡眠的神经元也开始适时地施加影响，我们就开始打哈欠了",35人支持
反物质是什么东西？,http://www.guokr.com/question/1860/,"且不说反物质的保存有多么困难，由于地球上没有传说中的“反物质矿”，除了放射性衰变以外，“大规模生产”反物质只能靠高能碰撞，而这个生产效率十分低下：CERN每年制造出来的反质子只能供点亮100w灯泡3秒,这些天，反物质突然又一次被热议，源于NewScientist十一月十七日发表的一篇题为《反氢终于被捕获(Antihydrogen trapped at long last)》的文章 [1]，这篇文章介,就像氢原子是由质子和电子组成一样，反氢原子是也由相应的反粒子组成的，人类对反物质的研究始于对这些反粒子的研究：1928年，Paul Dirac从以他名字命名的相对论性量子力学方程中，首先发现自然界允许",17人支持
"猛禽之类常吃腐败食物,它的胃酸如何有胃溃疡吗?",http://www.guokr.com/question/1763/,"[4]猛禽和其它食肉动物不会因为胃酸比较高而发生胃溃疡,[1] 但和其它普通食肉动物相比，猛禽的胃酸强度并没有显著差别,[2] 即使是食腐的秃鹫，也主要是依靠体内的抗体来防护腐败食物中的微生物毒素的，而不是靠胃酸",17人支持
怎样称重人体某部分的精确重量？,http://www.guokr.com/question/1754/,"所以，CT三维重建技术可以测出人体某一部分的近似重量，想找一个不血腥的方法测出精确重量十分困难,这样一来，我们最多只能通过科学统计，得到身体内各种组织在大多数人体内的平均密度值，例如骨骼的平均密度、肌肉的平均密度、脂肪的平均密度等,在人体内，电子密度和物理密度具有一定关联性，使用电子密度做出来的CT图像，大致也能反映物理密度的分布差异",11人支持
献血对身体有好处吗？,http://www.guokr.com/question/1669/,"有一些统计研究认为献血的人群比不献血的人群健康状况更好、寿命更长等等，但正如果壳网友球球在回复中指出：大部分情况下，献血者本身就是比较健康的人,例如对“铁过载”（体内含铁量过多的症状，可以导致血色沉着病）的病人来说，适当献血可以减缓血液内铁的积累[1],健康人以正确的流程在正规的采血点进行献血，是对健康完全无害的",14人支持
女性经期随着鲜血排出的那些深色的组织碎片，是什么东西？,http://www.guokr.com/question/1642/,"首先来了解一下月经的正常成分：血液，子宫内膜碎片，宫颈粘液，脱落的阴道上皮细胞,再过个9-10天，因为没有受孕则黄体开始萎缩，性激素水平下降，子宫的平滑肌收缩，血管因挤压被封闭，血流供给中断，子宫内膜坏死、脱落,后两者中，宫颈粘液混在血液里，而脱落的阴道上皮细胞量少体积小，只能在显微镜下看到",24人支持
台球普通码球为什么是三角形？,http://www.guokr.com/question/1614/,"九球采用了菱形摆球；斯诺克在三角形的红球区之外还分散摆着许多彩球；比较古老的“开伦台球”只有三个球（或者四个球），开局时摆成一条线,三角形摆放法有这样的优势：后排的球每一个都可以被前排的球撞击到，这样母球只要击中前排第一颗球，就可以引发连锁反应，让所有的小球之间发生一系列弹性碰撞，从而让大多数小球因受力而开始运动,虽然每一次碰撞之后的速度与方向都可以推算，但由于碰撞发生的次数很多，想要对所有球的运动进行预测几乎是不可能的",54人支持
为什么很容易听出来一个人是在打电话还是在和身边的人对话？,http://www.guokr.com/question/1513/,"由于无法直接给对方传递诸如“我说完了”之类的信息，电话交流中的语言会比面对面的交流更为具体，通过内容的安排、句式的调整，以及语调的变化来补充信息，弥补看不到对方的缺陷,这是因为：当人们面对面交流时，对话双方可以通过手势、表情、身体动作来补充交流或是给对方施以反馈，我们也会用视觉、触觉等辅助感官来获得完整的会话信息,我们并不是每一次都能分辨出一个人是在打电话还是在和身边的人对话",21人支持
高层用户失火如何自救，需要准备哪些东西？,http://www.guokr.com/question/1490/,"他还提到：很多人匆匆下楼，随手把门一关，到楼下发现道路被封再想回到屋内，却发现忘了带钥匙，进不了门,此外消防人员还提醒我们：如果在家中躲避，注意不可以藏得太深，以至于消防人员找不到你,例如：高层建筑按规定必须有两条防烟楼梯间，既能防烟也能防火，逃生时要尽量选择这个通道",8人支持
关于鸡蛋的两个问题,http://www.guokr.com/question/1473/,"简单来说，“踩蛋”描述的是公鸡踩在母鸡背上的交配过程,所以，精子并不需要通过蛋壳，而是先与卵子结合，才开始生成鸡蛋的,交配以后，精子沿着输卵管上行，在端部与卵细胞会合而受精",2人支持
果壳问答改版了，和旧版相比有哪些重大变化？,http://www.guokr.com/question/98477/,"在问答首页，增加“你可能喜欢”，根据你关注的标签及热门标签，推荐你感兴趣的问题；在问答首页，增加“最新问题”，在这里你可以看到果壳er提出的所有问题；在问答首页，增加“热门问题”，在这里你可以查看近期,增加“标签广场”，便于浏览和寻找你感兴趣的标签，想要更便捷的搜索，还可以使用标签广场右侧的搜索框；,除了昵称以外，用户的专业头衔、个人简介也可以成为搜索关键词，让你更方便的找到想找的果壳er",14人支持
,,"果壳问答希望能建立一个泛科技内容百科知识库，与维基百科提供纯客观知识不同地方在于，我们希望提供一座桥梁，让所有好的问题都能得到具有相关专业知识和经验的人的回答，解决一个人问题的同时，也能解决其他具有相同问题的人的疑惑。如何撰写一个优质答案，最为关键。

1.回答你熟悉的专业领域的问题。针对问题本身，...",18人支持
,,"一、如何将疑问转化为一个规范的问题？

1. 客观陈述问题，不要代入个人情感及主观判断。
例：
× 为什么有人喜欢不入流的二人转？
√二人转有什么吸引观众的特点？
 
2. 问题诉求清晰、用语简洁，省略无关字句。
1）拆分问题，避免多个问题混杂。
例：
×到底什么是植物人？植物人能被唤醒吗？有什么条...",20人支持
,,"这里是果壳问答的一些使用技巧，点击查看相关的内容。

【提出问题】

在果壳问答，如何提一个好问题？
我想提的问题都很简单，会不会被嘲笑？
我可以删除我的问题吗？

【获得回答】

怎样才能尽快得到解答？
没有人理我怎么办？
我想问的问题已经有人提过了，但是还没有靠谱的回答，怎么办？
怎样才能让专业...",19人支持
,,"在新版果壳问答中，我们将各种问题进行了分类。每一个问题最多可以被归在三个分类之下。没有被分类的问题，会出现在“其他”这个分类之下。

在提问时将问题投递到正确的分类中，会让相关领域的专业人士更容易看到这个问题，有助于你的问题更快获得解答。

你也可以关注自己感兴趣的分类，以便更好地了解网友在这个领域...",3人支持
,,"这两项功能将影响答案的排序，获得“支持”越多、“反对”越少的答案，排列位置将越靠上。“支持”完之后的答案下会显示你的ID，你的好友也能看见你“支持”过的答案；“反对”完之后则不用担心会被别人看到。

之前的果壳问答仍是论坛小组的模式，所有答案按照回复的先后顺序显示。这样的讨论机制并不利于优秀答案的呈...",3人支持
为什么对于一个问题，我只能回答一次？,http://www.guokr.com/question/83113/,"如果你只是想对他人的问题或答案进行讨论，可以点击问题或答案下面的评论按钮进行讨论,如果你对自己给出的答案不满意，您可以修改自己的答案，进行补充说明,在新版问答中，每位用户对每个问题只能给出一个答案，这避免了过多的不相关讨论对回答的干扰",2人支持
